+2.212278e-05    -1.454328e-05    +5.451264e-05
-1.287785e-05    +4.522330e-05    +2.105573e-05
+1.166390e-05    +5.135274e-06    -3.886506e-05
+4.276197e-05    +3.228911e-05    -2.492795e-05
+6.397375e-05    +4.880328e-05    +5.798464e-05
-4.599178e-06    -2.825547e-06    -5.036600e-05
-4.551463e-05    +1.453110e-05    +1.378275e-05
+3.356581e-05    -4.487693e-05    -1.376046e-05
-2.864543e-05    -3.585973e-05    -6.191693e-05
-4.538396e-05    -2.790341e-05    -5.805064e-05
-7.499299e-06    -1.357449e-05    +5.763478e-05
+2.253713e-05    +1.429697e-07    +2.143360e-05
+2.024439e-05    +7.309297e-07    +2.103666e-05
+5.900380e-05    +2.362109e-05    +3.667450e-05
+5.914644e-06    +4.085719e-05    +8.766481e-06
+6.770923e-06    +8.961101e-06    +3.757736e-05
+3.472330e-05    -4.628528e-05    -1.532144e-05
+3.500362e-05    +2.453174e-05    +1.225096e-05
+4.622348e-05    +5.970109e-06    +3.382188e-05
-5.924770e-05    -1.879641e-05    -5.388970e-05
-5.331607e-05    -3.762681e-05    -1.343752e-05
-5.311391e-05    -3.959618e-05    -1.479421e-05
-2.282578e-05    +4.412350e-05    -5.509375e-05
-7.698285e-06    -3.509593e-05    +5.307116e-05
-5.314548e-05    -4.126733e-05    -7.967718e-06
-8.408824e-07    +2.894129e-05    -1.966149e-05
-8.102908e-06    +2.477380e-05    -2.947750e-05
-2.355936e-05    -1.380617e-07    +1.402702e-05
+4.356321e-05    +3.344701e-05    -2.298446e-05
-3.830182e-05    +1.336535e-05    +2.835021e-05
-6.109087e-05    +4.461356e-05    +6.117253e-05
+3.256711e-05    -7.914571e-06    -1.279917e-05
+3.552326e-05    -2.899474e-05    -6.276520e-05
+2.910732e-05    -1.154182e-05    +5.571078e-05
-4.788400e-05    -3.044475e-05    -3.431579e-05
-9.884376e-06    +1.138757e-05    -5.780712e-05
+6.574151e-05    +2.311433e-05    -3.548254e-05
-1.472441e-05    -4.277431e-05    +1.585088e-05
-3.260040e-05    -3.863757e-05    +4.417147e-05
+2.112448e-05    -7.429972e-06    -4.645132e-05
-4.436415e-06    -6.233221e-06    -4.759678e-05
-3.772258e-05    -2.694781e-05    +1.682300e-06
-2.853272e-07    -3.191683e-06    +1.157167e-05
+9.860822e-06    -2.375211e-05    -3.993278e-05
-5.225855e-05    +4.138909e-05    -5.036120e-05
+3.870138e-05    -3.994790e-05    +5.407911e-05
+1.686851e-05    -4.809568e-05    -4.243113e-06
-5.761925e-07    +3.877898e-05    -6.081336e-05
+2.996173e-05    +2.046224e-06    -6.503958e-06
+2.095316e-05    -1.569426e-05    +5.626398e-05
